country,city,new_latitude,new_longitude
Canada,Wapasu,NA,NA
Chile,"Calera, Rural",NA,NA
Chile,Comuna De Coyhaique,NA,NA
Chile,La Quillota,NA,NA
Chile,Tomtome,NA,NA
China,?????,NA,NA
China,Aba Zangzu Qiangzu Zizhizhou,NA,NA
China,Alashanzuo Qi,NA,NA
China,Binhai Xinqu,NA,NA
China,Chang An Road,NA,NA
China,Changning Branch Road,NA,NA
China,Chengzhong District Liuzhou,NA,NA
China,Chiayi,NA,NA
China,Chiayi City,NA,NA
China,Daan Qu,NA,NA
China,Danlong Road,NA,NA
China,Desheng East Street,NA,NA
China,Di Wu Da Dao,NA,NA
China,Dongan Qu,NA,NA
China,Eerduosi,NA,NA
China,Erdos,NA,NA
China,Ewenke Zuzizhiqi,NA,NA
China,Fengtai East Street,NA,NA
China,Gaer Xian,NA,NA
China,Gangzha Qu,NA,NA
China,Greater Khingan,NA,NA
China,Guangan Qu,NA,NA
China,Guantai Road,NA,NA
China,Guanxiang Alley,NA,NA
China,Haerbin Shi,NA,NA
China,Hailaer,NA,NA
China,Hanyu Road,NA,NA
China,Haozhou,NA,NA
China,Hejian Road,NA,NA
China,Hinggan,NA,NA
China,Hong Kong Sar,NA,NA
China,Hongshan District Chifeng,NA,NA
China,Hsinchu,NA,NA
China,Huafeng North Road,NA,NA
China,Hualien,NA,NA
China,Ili Kazakh,NA,NA
China,Jianggan Qu,NA,NA
China,"Kaifu District, Changsha",NA,NA
China,Kaohsiung,NA,NA
China,Keelung,NA,NA
China,Keerqin Qu,NA,NA
China,Keerqinyouyiqian Qi,NA,NA
China,Kezhou,NA,NA
China,Kinmen,NA,NA
China,Kuerle Shi,NA,NA
China,Laiwu Shi,NA,NA
China,Longan Qu,NA,NA
China,Luxi County Jiangxi,NA,NA
China,Lvliang,NA,NA
China,Lvshunkou Qu,NA,NA
China,Lvyuan Qu,NA,NA
China,Maerkang Shi,NA,NA
China,N T,NA,NA
China,New Taipei,NA,NA
China,New Taipei City,NA,NA
China,North Road,NA,NA
China,Nujiang,NA,NA
China,Penglai Shi,NA,NA
China,Pingan Qu,NA,NA
China,Pingding County,NA,NA
China,Pingtung,NA,NA
China,Qiandongnan,NA,NA
China,Qiannan,NA,NA
China,Qiqihaer Shi,NA,NA
China,Qiyi Road,NA,NA
China,Qonggyai County,NA,NA
China,Qu Jiang Shang Quan,NA,NA
China,Shuanglin Road,NA,NA
China,Shuishang Gongyuan West Road,NA,NA
China,Shunhe Huizuqu,NA,NA
China,Taian Shi,NA,NA
China,Taichung,NA,NA
China,Taierzhuang Qu,NA,NA
China,Taihang Road,NA,NA
China,Taihang West Street,NA,NA
China,Taipei,NA,NA
China,Tap Mun,NA,NA
China,Tap Mun Police Post,NA,NA
China,Ti Yu Da Dao Dong,NA,NA
China,Wan An Road,NA,NA
China,West 4th Road,NA,NA
China,Wuerhe Qu,NA,NA
China,Xiacheng Qu,NA,NA
China,Xiangxi Tujiazumiaozuzizhizhou,NA,NA
China,Xietu Road,NA,NA
China,Xigang District Dalian,NA,NA
China,Xilingol,NA,NA
China,Xilinguole Meng,NA,NA
China,Xinnong Street,NA,NA
China,Xiongguan West Road,NA,NA
China,Yangliuqing Road,NA,NA
China,Yichun Heilongjiang,NA,NA
China,Yuanlin East Street,NA,NA
China,Yuma Road,NA,NA
China,Zhenan Qu,NA,NA
China,Zi Ma Ling Shang Quan,NA,NA
Croatia,Kopački Rit,NA,NA
Croatia,Općina Varaždin,NA,NA
Czechia,Brno-Kralovo Pole,NA,NA
Czechia,Chomutov-Jirkov,NA,NA
Czechia,Mada Boleslav,NA,NA
Czechia,Pardubice Vii,NA,NA
Dominican Republic,Distrito Nacional,NA,NA
Dominican Republic,Santo Pedro De Macoris,NA,NA
Egypt,Delta Cities,NA,NA
Egypt,Delta Region,NA,NA
Egypt,Greater Cairo,NA,NA
Fiji,Suva City,NA,NA
France,Avenue De L Europe,NA,NA
France,Avenue De L'europe,NA,NA
France,Canton De Baie Mahault,NA,NA
France,Canton Du Port,NA,NA
France,Cergy-Pontoise,NA,NA
France,Corse,NA,NA
France,Genève - Annemasse,NA,NA
France,Le Cap D Agde,NA,NA
France,Lens Lievin,NA,NA
France,Mantes En Yvelines,NA,NA
Germany,Baruther Straße,NA,NA
Germany,Bezirk Charlottenburg-Wilmersdorf,NA,NA
Germany,Bezirk Friedrichshain-Kreuzberg,NA,NA
Germany,Bezirk Neukölln,NA,NA
Germany,Bezirk Pankow,NA,NA
Germany,Bezirk Reinickendorf,NA,NA
Germany,Bezirk Spandau,NA,NA
Germany,Bezirk Steglitz-Zehlendorf,NA,NA
Germany,Bezirk Tempelhof-Schöneberg,NA,NA
Germany,Bezirk Treptow-Köpenick,NA,NA
Germany,Camburger Straße,NA,NA
Germany,Deisterstrasse,NA,NA
Germany,Dessau-Rosslau,NA,NA
Germany,Hauptstrasse,NA,NA
Germany,Heppenheim An Der Bergstrasse,NA,NA
Germany,Hortenkopf,NA,NA
Germany,L106,NA,NA
Germany,Lüneburger Heide,NA,NA
Germany,Munstertal Schwarzwald,NA,NA
Germany,Nadorster Strasse,NA,NA
Germany,Rems-Murr-Kreis,NA,NA
Germany,Schuhstrasse,NA,NA
Germany,Sulzbachtalstrasse,NA,NA
Germany,Theodor-Tantzen-Platz,NA,NA
Greece,Amaroussio,NA,NA
Greece,Echedoro,NA,NA
Greece,Evritania,NA,NA
Greece,Fokida,NA,NA
Greece,Oinofyta,NA,NA
Greece,Pireas,NA,NA
Greece,Vorios Tomeas Athinon,NA,NA
Hungary,Hafnarfjorour,NA,NA
Iceland,Garour,NA,NA
Iceland,Hafnarfjorour,NA,NA
Iceland,Norourbing,NA,NA
India,Angaragadia,NA,NA
India,Anklesvar,NA,NA
India,Araimile,NA,NA
India,Assanora,NA,NA
India,Baldevi,NA,NA
India,Bareily,NA,NA
India,Bastacola,NA,NA
India,Bhillai,NA,NA
India,Bhubneshwar,NA,NA
India,Bonaigarh,NA,NA
India,Chadangaon,NA,NA
India,Chinsura,NA,NA
India,Chitoor,NA,NA
India,Chowkimann,NA,NA
India,Daranga,NA,NA
India,Devanagere,NA,NA
India,Durg-Bhillainagar,NA,NA
India,Gaddapotharam,NA,NA
India,Gaddapotharam Medak District,NA,NA
India,Gariahat,NA,NA
India,Ghaniwala Road,NA,NA
India,Gorakpur,NA,NA
India,Gulburga,NA,NA
India,Haryana,NA,NA
India,Howrah Kolkata,NA,NA
India,Isilvassa,NA,NA
India,Itnagar,NA,NA
India,Jaito Sarja,NA,NA
India,Johnston Ganj,NA,NA
India,Kharaori,NA,NA
India,Kotladoom,NA,NA
India,Krishna District Vijaywada,NA,NA
India,Kundaim,NA,NA
India,Laipuitlang,NA,NA
India,Marmagao,NA,NA
India,Mini Secretariate Office 3rd Floor Distt Bhiwanin Bhiwani,NA,NA
India,Mpcb Sangli,NA,NA
India,Mrar Kalan,NA,NA
India,Mureedke,NA,NA
India,Nalgonda,NA,NA
India,Naudhrani,NA,NA
India,Nawashahar,NA,NA
India,Patencheru,NA,NA
India,Pimpri-Chinchwad,NA,NA
India,Prithampur,NA,NA
India,Qila Bharian,NA,NA
India,R.c.puram,NA,NA
India,Raigunj,NA,NA
India,Rishra,NA,NA
India,Saraikela Kharsawan,NA,NA
India,Shimaga,NA,NA
India,South Suburban,NA,NA
India,Thissur,NA,NA
India,Tilamol,NA,NA
India,Timukuru,NA,NA
India,Tirathpur,NA,NA
India,Tribeni,NA,NA
India,Trivendrum,NA,NA
India,Tulasipur,NA,NA
India,Umiam,NA,NA
India,Vijaywada,NA,NA
India,Vishakhapatnam,NA,NA
India,Visikhapatnam,NA,NA
India,Wayanad,NA,NA
India,West Singhbhum,NA,NA
India,Yerrangunta,NA,NA
Indonesia,South Sumatera,NA,NA
Indonesia,Surbaya,NA,NA
Indonesia,West Kalimantan,NA,NA
Iran,Asalueih,NA,NA
Iran,Baghershahr,NA,NA
Iran,Bourojerd,NA,NA
Iran,Dorood,NA,NA
Iran,Eslamshshr,NA,NA
Iran,Ievan,NA,NA
Iran,Kabudarahang,NA,NA
Iran,Khominshahr,NA,NA
Iran,Orumye,NA,NA
Iran,Pole Dokhtar,NA,NA
Iran,Robatkarim,NA,NA
Iran,Sanndaj,NA,NA
Iran,Savegbelagh,NA,NA
Iran,Shahinshahr,NA,NA
Iran,Shahre Ghods,NA,NA
Iran,Uromieh,NA,NA
Iran,Yasoj,NA,NA
Iraq,Samandira,NA,NA
Ireland,Banbridge,NA,NA
Ireland,Mace Head,NA,NA
Israel,Ammiqam,NA,NA
Israel,Barqay,NA,NA
Israel,Bene Beraq,NA,NA
Israel,Bene Darom,NA,NA
Israel,Bet Hashmonay,NA,NA
Israel,Ceasaria,NA,NA
Israel,Elyaqim,NA,NA
Israel,En Dor,NA,NA
Israel,Gadera,NA,NA
Israel,Gevar Am,NA,NA
Israel,Hama Pil,NA,NA
Israel,Heftzibah,NA,NA
Israel,Karmei Yosef - Gezer Region,NA,NA
Israel,Karmiyya,NA,NA
Israel,Kefar Hasidim Alef,NA,NA
Israel,Kefar Masaryk,NA,NA
Israel,Kefar Menahem,NA,NA
Israel,Kefar Sava,NA,NA
Israel,Kibbutz Erez,NA,NA
Israel,Kibbutz Sde Yoav,NA,NA
Israel,Ma Yan Zevi,NA,NA
Israel,Mavqi Im,NA,NA
Israel,Mizpe Netofa,NA,NA
Israel,Neot Hakikkar,NA,NA
Israel,Nir Yisra El,NA,NA
Israel,Park Hacarmel,NA,NA
Israel,Park_hacarmel,NA,NA
Israel,Qazir,NA,NA
Israel,Qesaryya,NA,NA
Israel,Ra Annana,NA,NA
Israel,Sde Yo'av,NA,NA
Israel,Sede Yo Av,NA,NA
Italy,Agip Petroli-Ilva,NA,NA
Italy,Albisola Marina,NA,NA
Italy,Ariano Irpino Martiri,NA,NA
Italy,Bormida Genepro,NA,NA
Italy,Calnova Fiorentina,NA,NA
Italy,Cason Del Chievo,NA,NA
Italy,Ferriera Pontasso,NA,NA
Italy,Fontanebianche,NA,NA
Italy,Gabbio Cereda Ramate,NA,NA
Italy,Giardino Botto,NA,NA
Italy,La Massimina-Casal Lumbroso,NA,NA
Italy,Pedagne,NA,NA
Italy,Pont Suaz Ampaillant,NA,NA
Italy,Santa Colomba Ii,NA,NA
Italy,Tortol,NA,NA
Italy,Trafinello I,NA,NA
Jamaica,Northern St. Catherine,NA,NA
Jamaica,Old Harbour Plains,NA,NA
Jamaica,Old Harbour Plains St Catherine,NA,NA
Jamaica,South Eastern Manchester,NA,NA
Jamaica,Vere Plains Clarendon,NA,NA
Japan,Fukuoka City,NA,NA
Japan,Gifu City,NA,NA
Japan,Hachioji City,NA,NA
Japan,Kagoshima City,NA,NA
Japan,Kyoto City,NA,NA
Japan,Niigata City,NA,NA
Japan,Okayama City,NA,NA
Japan,Okinawa City,NA,NA
Japan,Sapporo City,NA,NA
Japan,Shimuzu-Ku,NA,NA
Japan,Shizuoka City,NA,NA
Japan,Yokohama City,NA,NA
Kuwait,Ahmadi Governorate,NA,NA
Kuwait,Al Fahaheel,NA,NA
Kuwait,Al Mansouriya,NA,NA
Kuwait,Al Rumaithyia,NA,NA
Kuwait,Al Salam,NA,NA
Kuwait,Capital Governorate,NA,NA
Kuwait,Hawali Governorate,NA,NA
Kuwait,Jahra Governorate,NA,NA
Kuwait,Mubarak Alkabeer Governorate,NA,NA
Latvia,Ventspils Pils_ta,NA,NA
Lebanon,Baalbak,NA,NA
Malaysia,Pulau Pinang,NA,NA
Malaysia,W P Labuan,NA,NA
Maldives,Male - Friday Mosque Station,NA,NA
Mauritius,"Bramsthan, Flacq",NA,NA
Mexico,Area Metropolitana De Monterrey,NA,NA
Mexico,Corrregidora,NA,NA
Mexico,Residencial Veredas Del Sol,NA,NA
Mexico,Tlalnepantla De Baz,NA,NA
Mexico,Zona Met De Guadalajara,NA,NA
Mexico,Zona Met De Monterrey,NA,NA
Mexico,Zona Metropolitana De Guadalajara,NA,NA
Mexico,Zona Metropolitana De Juarez,NA,NA
Mexico,Zona Metropolitana De Monterrey,NA,NA
Mexico,Zona Metropolitana Puebla Tlaxcala,NA,NA
Mongolia,Khobd,NA,NA
Myanmar (Burma),Meikhtilar,NA,NA
Myanmar (Burma),Namthu,NA,NA
Myanmar (Burma),Pyay-Aunglan,NA,NA
Nepal,Dhm Pokhara,NA,NA
Nepal,Embassy Kathmandu,NA,NA
Nepal,Gbs Pokhara,NA,NA
Nepal,Kathmandu Valley,NA,NA
Nepal,Phora Durbar Kathmandu,NA,NA
Nepal,Shankapark,NA,NA
Netherlands,Greater Alkmaar,NA,NA
Netherlands,Greater Ede,NA,NA
Netherlands,Greater Eindhoven,NA,NA
Netherlands,Greater Heemskerk,NA,NA
Netherlands,Greater Heerlen,NA,NA
Netherlands,Greater Leiden,NA,NA
Netherlands,Greater Rotterdam,NA,NA
New Zealand,Ashburton District,NA,NA
New Zealand,Bay Of Plenty,NA,NA
New Zealand,Buller District,NA,NA
New Zealand,Central Otago District,NA,NA
New Zealand,Christchurch City,NA,NA
New Zealand,Clutha District,NA,NA
New Zealand,Dunedin City,NA,NA
New Zealand,Environment Canterbury,NA,NA
New Zealand,Far North District,NA,NA
New Zealand,Gisborne District,NA,NA
New Zealand,Hastings District,NA,NA
New Zealand,Hawkes Bay,NA,NA
New Zealand,Lower Hutt City,NA,NA
New Zealand,Marlborough District,NA,NA
New Zealand,Matamata-Piako District,NA,NA
New Zealand,Otorohanga District,NA,NA
New Zealand,Queenstown-Lakes District,NA,NA
New Zealand,Rangitikei District,NA,NA
New Zealand,Rotorua District,NA,NA
New Zealand,Ruapehu District,NA,NA
New Zealand,South Waikato District,NA,NA
New Zealand,Southland,NA,NA
New Zealand,Tasman District,NA,NA
New Zealand,Taupo District,NA,NA
New Zealand,Thames-Coromandel District,NA,NA
New Zealand,Waimakariri District,NA,NA
New Zealand,Waipa District,NA,NA
New Zealand,Waitaki District,NA,NA
New Zealand,Waitomo District,NA,NA
New Zealand,West Coast,NA,NA
New Zealand,Whakatane District,NA,NA
New Zealand,Whangarei District,NA,NA
North Macedonia,Gjorce Petro,NA,NA
Norway,Birkenes Municipality,NA,NA
Norway,Drammensveien,NA,NA
Norway,Hurdal Municipality,NA,NA
Pakistan,Lahore - Johar Town,NA,NA
Palestinian Territories,Allon Shevut,NA,NA
Philippines,City Of Malabon,NA,NA
Philippines,Daguapan City,NA,NA
Philippines,Dagupan City,NA,NA
Philippines,Las Pina,NA,NA
Philippines,Las Pina City,NA,NA
Philippines,Nia Road,NA,NA
Philippines,Pateros City,NA,NA
Poland,Boles Awiecki,NA,NA
Poland,Boles_awiecki,NA,NA
Poland,Inowroc_awski,NA,NA
Poland,Jeleniogorski,NA,NA
Poland,Osada Borsukowizna,NA,NA
Poland,Pleszewski,NA,NA
Poland,Tucholski,NA,NA
Portugal,"Almada, Aml Sul",NA,NA
Portugal,"Barreiro, Aml Sul",NA,NA
Portugal,"Chamusca, Vale Do Tejo E Oeste",NA,NA
Portugal,"Espinho, Porto Litoral",NA,NA
Portugal,"Estarreja, Zona De Influencia",NA,NA
Portugal,Fundao Centro Interior,NA,NA
Portugal,Gondomar Porto Litoral,NA,NA
Portugal,"Lisboa, Aml Norte",NA,NA
Portugal,Maia Porto Litoral,NA,NA
Portugal,Matosinhos Porto Litoral,NA,NA
Portugal,Oeiras Aml Norte,NA,NA
Portugal,Porto Litoral,NA,NA
Portugal,"Porto, Porto Litoral",NA,NA
Portugal,"Santiago Do Cacem, Alentejo Li",NA,NA
Portugal,Seixal Aml Sul,NA,NA
Portugal,"Sines, Alentejo Litoral",NA,NA
Portugal,"Sintra, Aml Norte",NA,NA
Portugal,V N Telha Porto Litoral,NA,NA
Puerto Rico,Ponce Pr,NA,NA
Puerto Rico,San Juan,NA,NA
Puerto Rico,San Juan Carolina Caguas Pr,NA,NA
Qatar,Madinat Khaifa,NA,NA
Romania,Comuna Sinandrei,NA,NA
Romania,Moravia,NA,NA
Romania,Sat Cazasu,NA,NA
Romania,Zona Ferneziu,NA,NA
Romania,Zona Firiza,NA,NA
Saudi Arabia,Abha Region,NA,NA
Saudi Arabia,Al Jubail,NA,NA
Saudi Arabia,Al-Hafouf,NA,NA
Saudi Arabia,Al-Jouf Region,NA,NA
Saudi Arabia,Asir Region,NA,NA
Saudi Arabia,Dharan,NA,NA
Saudi Arabia,Hail Region,NA,NA
Saudi Arabia,Madinah Region,NA,NA
Saudi Arabia,Makkah Region,NA,NA
Saudi Arabia,Northern Borders,NA,NA
Saudi Arabia,Qassim Region,NA,NA
Saudi Arabia,Riyadh Region,NA,NA
Saudi Arabia,Tabuk Region,NA,NA
South Africa,Bojanala Platinum,NA,NA
South Africa,Capricorn Dm,NA,NA
South Africa,City Of Cape Town,NA,NA
South Africa,City Of Tshwane,NA,NA
South Africa,Dr Kenneth Kaunda,NA,NA
South Africa,Fezile Dabi,NA,NA
South Africa,Gert Sibande,NA,NA
South Africa,Greater Sekhukhune,NA,NA
South Africa,Highveld Priority Area Network,NA,NA
South Africa,Mangaung Metropolitan,NA,NA
South Africa,Middleburg,NA,NA
South Africa,Namakwa,NA,NA
South Africa,Ngaka Modiri Molema,NA,NA
South Africa,Nkangala,NA,NA
South Africa,Umkhanyakude,NA,NA
South Africa,Uthungulu,NA,NA
South Africa,Vaal Priority Area,NA,NA
South Korea,???,NA,NA
South Korea,Chung Cheong Bukdo,NA,NA
South Korea,Chungbuk,NA,NA
South Korea,Chungcheongbuk Do,NA,NA
South Korea,Chungcheongnam-Do,NA,NA
South Korea,Gangwon-Do,NA,NA
South Korea,Gurve,NA,NA
South Korea,Gyeongbuk,NA,NA
South Korea,Gyeongsangbuk,NA,NA
South Korea,Gyeongsangnam-Do,NA,NA
South Korea,Jeju-Do,NA,NA
South Korea,Jeollabuk Do,NA,NA
South Korea,Jeollanam-Do,NA,NA
South Korea,Sejong Special Autonomy City,NA,NA
Spain,Biscay,NA,NA
Spain,Ciutadella De Menorca,NA,NA
Spain,Fortelasa De Isabel Ii,NA,NA
Spain,Igueste De Candelaria,NA,NA
Spain,Illes Balears,NA,NA
Spain,Retuerta De Bullaque,NA,NA
Spain,Salvatierra O Agurain,NA,NA
Spain,Sant Rafel Del Maestrat,NA,NA
Spain,Trepuco,NA,NA
Spain,Urbanizacion Tajao,NA,NA
Sweden,Bores,NA,NA
Sweden,Umee,NA,NA
Switzerland,Jungfraujoch,NA,NA
Switzerland,Tuggen Mehrzweckhalle,NA,NA
Thailand,Chaloem Phra Kiat District,NA,NA
Thailand,Mueang Nan District,NA,NA
Thailand,Suphun Buri,NA,NA
Trinidad & Tobago,Signal Hill Tobago,NA,NA
Turkey,Bakırcı Mahallesi,NA,NA
Turkey,Gaziakdemir Mh,NA,NA
Turkey,K.maras,NA,NA
Turkey,Limankoi,NA,NA
Turkey,Siirt Province,NA,NA
United Arab Emirates,Al Ain - Urban,NA,NA
United Arab Emirates,Al Gharbia,NA,NA
United Kingdom,Bath And North East Somerset,NA,NA
United Kingdom,Biandrate,NA,NA
United Kingdom,Bishops Moat,NA,NA
United Kingdom,Blackburn With Darwen,NA,NA
United Kingdom,Cheshire East,NA,NA
United Kingdom,Cornwall,NA,NA
United Kingdom,Greater Belfast,NA,NA
United Kingdom,Greater Glasgow,NA,NA
United Kingdom,Greater Manchester,NA,NA
United Kingdom,Greater Nottingham,NA,NA
United Kingdom,Greve In Chianti,NA,NA
United Kingdom,Inverclyde,NA,NA
United Kingdom,Saint Osyth,NA,NA
United Kingdom,Telford And Wrekin,NA,NA
United Kingdom,Tyneside Conurbation,NA,NA
United Kingdom,West Dunbartonshire,NA,NA
United Kingdom,West Midlands,NA,NA
United Kingdom,West Northamptonshire,NA,NA
United States,Aberdeen Sd,NA,NA
United States,Adrian Mi,NA,NA
United States,Albany Ga,NA,NA
United States,Albany Schenectady Troy Ny,NA,NA
United States,Albany-Schenectady-Troy,NA,NA
United States,Alexandria La,NA,NA
United States,Allentown Bethlehem Easton Pa Nj,NA,NA
United States,"Anderson, In",NA,NA
United States,Ann Arbor Mi,NA,NA
United States,Asheville Nc,NA,NA
United States,Athens Clarke County Ga,NA,NA
United States,Athens Oh,NA,NA
United States,Atlanta Sandy Springs Roswell Ga,NA,NA
United States,Atlantic City Hammonton Nj,NA,NA
United States,Augusta Richmond County Ga Sc,NA,NA
United States,Augusta Waterville Me,NA,NA
United States,Augusta-Richmond County,NA,NA
United States,Austin Round Rock Tx,NA,NA
United States,Austin-Round Rock,NA,NA
United States,Bakersfield Ca,NA,NA
United States,Baltimore Columbia Towson Md,NA,NA
United States,"Bangor, Me",NA,NA
United States,Baraboo Wi,NA,NA
United States,Baton Rouge La,NA,NA
United States,Bay City Mi,NA,NA
United States,Beaumont Port Arthur Tx,NA,NA
United States,Beaumont-Port Arthur,NA,NA
United States,Beaver Dam Wi,NA,NA
United States,"Beckley, Wv",NA,NA
United States,"Bellingham, Wa",NA,NA
United States,"Bend, Or",NA,NA
United States,Bennington Vt,NA,NA
United States,"Bethesda-Frederick-Rockville, Md",NA,NA
United States,Birmingham Hoover Al,NA,NA
United States,Birmingham-Hoover,NA,NA
United States,Bishop Ca,NA,NA
United States,Bismarck Nd,NA,NA
United States,Bloomington In,NA,NA
United States,Boise City Id,NA,NA
United States,"Boise City-Nampa, Id",NA,NA
United States,"Boone, Nc",NA,NA
United States,Boston Cambridge Newton Ma Nh,NA,NA
United States,Boulder Co,NA,NA
United States,"Bowling Green, Ky",NA,NA
United States,"Bozeman, Mt",NA,NA
United States,"Bradenton-Sarasota-Venice, Fl",NA,NA
United States,Bremerton-Silverdale,NA,NA
United States,Bridgeport Stamford Norwalk Ct,NA,NA
United States,Bridgeport-Stamford-Norwalk,NA,NA
United States,"Brigham City, Ut",NA,NA
United States,"Brookings, Sd",NA,NA
United States,"Brownsville-Harlingen, Tx",NA,NA
United States,Brunswick Ga,NA,NA
United States,Buffalo Cheektowaga Niagara Falls Ny,NA,NA
United States,"Buffalo-Niagara Falls, Ny",NA,NA
United States,Burlington South Burlington Vt,NA,NA
United States,Butte Silver Bow Mt,NA,NA
United States,Butte-Silver Bow,NA,NA
United States,Cadillac Mi,NA,NA
United States,"Cambridge-Newton-Framingham, Ma",NA,NA
United States,"Camden, Nj",NA,NA
United States,Canon City Co,NA,NA
United States,Canton Massillon Oh,NA,NA
United States,Cape Coral Fort Myers Fl,NA,NA
United States,Cape Coral-Fort Myers,NA,NA
United States,Carlsbad Artesia Nm,NA,NA
United States,Casper Wy,NA,NA
United States,Cedar Rapids Ia,NA,NA
United States,Central Mckenzie,NA,NA
United States,"Champaign-Urbana, Il",NA,NA
United States,Charleston North Charleston Sc,NA,NA
United States,Charleston Wv,NA,NA
United States,Charlotte Concord Gastonia Nc Sc,NA,NA
United States,Charlotte-Gastonia-Concord,NA,NA
United States,Charlottesville Va,NA,NA
United States,Chattanooga Tn Ga,NA,NA
United States,Cheyenne Wy,NA,NA
United States,Chicago Naperville Elgin Il In Wi,NA,NA
United States,Chicago-Naperville-Elgin,NA,NA
United States,Chicago-Naperville-Joliet,NA,NA
United States,Chico Ca,NA,NA
United States,Cincinnati Oh Ky In,NA,NA
United States,Claremont Lebanon Nh Vt,NA,NA
United States,Claremont-Lebanon,NA,NA
United States,Clarksburg Wv,NA,NA
United States,Clarksville Tn Ky,NA,NA
United States,"Clearlake, Ca",NA,NA
United States,Cleveland Elyria Oh,NA,NA
United States,Clinton Ia,NA,NA
United States,Colorado Springs Co,NA,NA
United States,Columbia Sc,NA,NA
United States,Columbus Ga Al,NA,NA
United States,"Concord, Nh",NA,NA
United States,"Cookeville, Tn",NA,NA
United States,Corning Ny,NA,NA
United States,Corpus Christi Tx,NA,NA
United States,Corsicana Tx,NA,NA
United States,Cortina Indian Rancheria,NA,NA
United States,Cullowhee Nc,NA,NA
United States,Dallas Fort Worth Arlington Tx,NA,NA
United States,Dallas-Fort Worth-Arlington,NA,NA
United States,"Dallas-Plano-Irving, Tx",NA,NA
United States,Daphne Fairhope Foley Al,NA,NA
United States,Daphne-Fairhope-Foley,NA,NA
United States,Davenport Moline Rock Island Ia Il,NA,NA
United States,Dayton Oh,NA,NA
United States,Decatur Al,NA,NA
United States,Deltona Daytona Beach Ormond Beach Fl,NA,NA
United States,Deltona-Daytona Beach-Ormond Beach,NA,NA
United States,Denver Aurora Lakewood Co,NA,NA
United States,Des Moines West Des Moines Ia,NA,NA
United States,Detroit Warren Dearborn Mi,NA,NA
United States,Dickinson Nd,NA,NA
United States,Dodge City Ks,NA,NA
United States,Dothan Al,NA,NA
United States,Dover De,NA,NA
United States,Duluth Mn Wi,NA,NA
United States,Durango Co,NA,NA
United States,Durham Chapel Hill Nc,NA,NA
United States,"Durham, Nc",NA,NA
United States,"Dyersburg, Tn",NA,NA
United States,"East Stroudsburg, Pa",NA,NA
United States,Eau Claire Wi,NA,NA
United States,"Edison-New Brunswick, Nj",NA,NA
United States,El Centro Ca,NA,NA
United States,El Dorado Ar,NA,NA
United States,El Paso Tx,NA,NA
