country,to_review,suggested_standard,n1,n2,dist,standard
China,Tianqiao Qu,Tianjiaan Qu,12,12,0.143939394,
China,Tianshan Qu,Cangshan Qu,12,12,0.121212121,
China,Tianshui,Lishui,42,26,0.180555556,
China,Tianxin Qu,Jianxi Qu,12,12,0.103703704,
China,Tianya Qu,Tianqiao Qu,12,12,0.127946128,
China,Tianyuan Qu,Tianshan Qu,12,12,0.121212121,
China,Tiedong,Jiedong Qu,12,12,0.180952381,
China,"Tiedong District, Anshan",Xifeng District,6,12,0.197222222,
China,Tiedong Qu,Hedong Qu,12,12,0.103703704,
China,Tieling,Jilin,42,23,0.20952381,
China,Tieling Shi,Tieling,23,3,0.121212121,
China,Tieling Xian,Tieling,23,6,0.138888889,
China,Tieshan Qu,Heshan Qu,24,24,0.103703704,
China,Tiexi,Tieling,23,18,0.20952381,
China,"Tiexi District, Siping","Weibin District, Xinxiang",6,12,0.190976431,
China,Tiexi Qu,Tiexi,18,12,0.125,
China,Tinghu Qu,Binhu Qu,24,12,0.115740741,
China,Tongan,Tongchuan,12,39,0.111111111,
China,Tongchuan,Dongguan,47,39,0.194444444,
China,Tongchuan Qu,Tonghua,24,32,0.138888889,
China,Tongguan Qu,Dongguan,47,24,0.162878788,
China,Tonghua,Dongguan,47,32,0.220238095,
China,Tonghua Shi,Tonghua,32,12,0.121212121,
China,Tongliao,Tongling,15,26,0.166666667,
China,Tongling,Dongying,38,26,0.166666667,
China,Tongling Shi,Tongling,26,12,0.111111111,
China,Tongren,Tongchuan,39,35,0.243386243,
China,Tongren Xian,Tongren,35,24,0.138888889,
China,Tongshan Qu,Bengshan Qu,24,12,0.121212121,
China,Tunxi,Wuxi,12,44,0.216666667,
China,Tunxi District,Suxian District,12,6,0.106715507,
China,Tunxi Qu,Tunxi,12,12,0.125,
China,Wafangdian Shi,Kangding Shi,6,6,0.150793651,
China,Wan An Road,Chang An Road,12,6,0.107226107,
China,Wancheng Qu,Yancheng,24,49,0.162878788,
China,Wanghua Qu,Conghua Qu,12,12,0.133333333,
China,Wangyi Qu,Changyi Qu,12,12,0.103703704,
China,Wanli Qu,Wangyi Qu,12,12,0.115740741,
China,Wanxiu Qu,Hunjiang Qu,24,24,0.242905243,
China,Wei Nan,Weinan,18,39,0.150793651,
China,Wei'nan,Wenshan,10,21,0.19047619,
China,Weibin,Yibin,12,38,0.177777778,
China,"Weibin District, Xinxiang",Qixing District,12,12,0.24,
China,Weibin Qu,Weibin,12,12,0.111111111,
China,Weicheng,Baicheng,23,6,0.166666667,
China,"Weicheng District, Weifang",Zichuan District,3,12,0.229166667,
China,Weicheng Qu,Xuecheng Qu,6,12,0.121212121,
China,Weidu Qu,Wanxiu Qu,24,24,0.194444444,
China,Weifang,Weinan,36,39,0.217460317,
China,Weihai Shi,Weihai,40,6,0.133333333,
China,Weinan,Jinan,43,39,0.177777778,
China,Weinan Shi,Jinan Shi,6,6,0.103703704,
China,Weiyang Qu,Wangyi Qu,12,12,0.125925926,
China,Wendeng Qu,Rencheng Qu,12,6,0.157575758,
China,Wenfeng Qu,Rencheng Qu,12,12,0.157575758,
China,Wenshan,Anshan,37,21,0.150793651,
China,Wenshan Shi,Wenshan,21,12,0.121212121,
China,Wenzhou,Lanzhou,52,47,0.19047619,
China,Wenzhou Shi,Binzhou Shi,6,6,0.121212121,
China,Wolong Qu,Shaoling Qu,24,24,0.195286195,
China,Wuchang Qu,Fucheng Qu,12,12,0.133333333,
China,Wucheng Qu,Acheng Qu,12,12,0.103703704,
China,Wudu Qu,Weidu Qu,24,24,0.186507937,
China,Wuerhe Qu,Renhe Qu,12,12,0.194444444,
China,Wuhai,Wuhan,26,50,0.133333333,
China,Wuhan Shi,Lushan Shi,12,6,0.103703704,
China,Wuhou Qu,Suzhou Qu,24,12,0.115740741,
China,Wuhu,Wuhan,50,42,0.216666667,
China,Wuhu Shi,Wuhan Shi,6,6,0.115740741,
China,Wuhua Qu,Wudu Qu,24,12,0.130952381,
China,Wujiagang Qu,Qujiang Qu,12,12,0.153703704,
China,Wujiang,Qujing,36,34,0.150793651,
China,Wujiang Qu,Wuxing Qu,6,12,0.103703704,
China,Wujiaqu,Wujiang,34,21,0.19047619,
China,Wujiaqu Shi,Wujiaqu,21,12,0.121212121,
China,Wujin Qu,Wujiagang Qu,12,12,0.111111111,
China,Wulanchabu Shi,Wulanhaote Shi,12,24,0.142857143,
China,Wuling,Wujiang,34,6,0.150793651,
China,Wuling District,Louxing District,12,6,0.106944444,
China,Wuling Qu,Wujiang Qu,6,6,0.103703704,
China,Wulingyuan,Wuling,6,6,0.133333333,
China,Wulingyuan District,Liangyuan District,6,6,0.120918616,
China,Wulumuqi Shi,Wujiaqu Shi,12,12,0.180976431,
China,Wuwei,Wuxi,26,44,0.216666667,
China,Wuxi Shi,Fuxin Shi,6,6,0.115740741,
China,Wuxing Qu,Louxing Qu,12,12,0.103703704,
China,Wuzhong,Bazhong,24,20,0.19047619,
China,Wuzhong Qu,Wuchang Qu,12,12,0.133333333,
China,Wuzhou,Fuzhou,38,12,0.111111111,
China,Xi An,Huai An,39,36,0.20952381,
China,Xi Xiang,Xinxiang,12,20,0.166666667,
China,Xi'an,Xiamen,23,49,0.177777778,
China,Xi'ning,Xinxiang,10,20,0.130952381,
China,Xiacheng Qu,Huicheng Qu,12,12,0.121212121,
China,Xialu Qu,Babu Qu,24,24,0.220238095,
China,Xiamen Shi,Xiamen,49,12,0.133333333,
China,Xian Qu,Xiacheng Qu,12,12,0.121212121,
China,Xian Shi,Hetian Shi,12,12,0.141666667,
China,Xian'an,Xiangtan,12,41,0.130952381,
China,Xianan,Xiangyang,12,20,0.111111111,
China,Xianan Qu,Xianan,12,12,0.111111111,
China,Xiangcheng,Pingcheng,12,12,0.103703704,
China,"Xiangcheng District, Zhangzhou",Qingcheng District,6,6,0.162962963,
China,Xiangcheng Qu,Xiacheng Qu,12,12,0.127039627,
China,Xiangfang Qu,Jiangyang Qu,12,12,0.111111111,
China,Xianggelila Shi,Kaili Shi,24,24,0.234259259,
China,Xiangqiao Qu,Shuangqiao Qu,12,12,0.132478632,
China,Xiangshan Qu,Bagongshan Qu,24,24,0.165811966,
China,Xiangtan,Xianyang,41,44,0.154761905,
China,Xiangtan Shi,Xian Shi,12,6,0.111111111,
China,Xiangxi,Xingtai,23,46,0.19047619,
China,Xiangyang,Xiangtan,41,20,0.115740741,
China,"Xiangyang District, Hegang",Liangyuan District,6,6,0.165242165,
China,"Xiangyang District, Jiamusi","Xiangyang District, Hegang",6,6,0.138176638,
China,Xiangyang Qu,Xiangshan Qu,24,24,0.111111111,
China,Xiangzhou Qu,Huangzhou Qu,24,24,0.111111111,
China,Xianning,Xining,20,46,0.138888889,
China,Xianyang,Xining,44,46,0.180555556,
China,Xianyang Shi,Xiangtan Shi,6,6,0.101010101,
China,Xiaodian Qu,Xiangqiao Qu,12,12,0.119191919,
China,Xiaogan,Xianyang,44,26,0.186507937,
China,Xiaogan Shi,Xianyang Shi,6,6,0.119191919,
China,Xiaonan Qu,Maonan Qu,12,12,0.103703704,
China,Xiashan Qu,Laishan Qu,12,12,0.103703704,
China,Xichang Shi,Yichang,24,40,0.199134199,
China,Xicheng Qu,Acheng Qu,12,12,0.103703704,
China,Xiejiaji Qu,Xian Qu,12,12,0.199134199,
China,Xietu Road,Qiyi Road,12,12,0.244444444,
China,Xifeng,Chifeng,42,12,0.150793651,
China,Xifeng District,Ninghe District,12,12,0.127350427,
China,Xifeng Qu,Xicheng Qu,12,12,0.103703704,
China,Xigang District Dalian,Jiguan District,6,6,0.180808081,
China,"Xigang District, Dalian",Jiguan District,6,6,0.189371981,
China,Xigong Qu,Xian Qu,12,12,0.158730159,
China,Xihe Qu,Linhe Qu,24,24,0.130952381,
China,Xihu,Xinzhou Qu,12,24,0.2,
China,Xihu Qu,Aihui Qu,24,6,0.130952381,
China,Xiling Qu,Beilin Qu,24,12,0.148148148,
China,Xilingol,Tieling,23,15,0.220238095,
China,Xilinguole Meng,Xilingol,15,12,0.155555556,
China,Xilinhaote Shi,Wulanhaote Shi,24,24,0.188311688,
China,Xilinhot,Xilinhaote Shi,24,12,0.142857143,
China,Xinbei Qu,Xingbin Qu,12,24,0.103703704,
China,Xincheng Qu,Fancheng Qu,24,12,0.121212121,
China,Xinfu,Xinyu,12,18,0.133333333,
China,"Xinfu District, Xinzhou","Xigang District, Dalian",6,6,0.202898551,
China,Xinfu Qu,Xinfu,12,12,0.125,
China,Xing'an,Xianan,12,12,0.150793651,
China,Xingan,Hinggan,15,12,0.150793651,
China,Xingbin Qu,Lingling Qu,24,24,0.157575758,
China,Xinglongtai,Xingtai,6,46,0.121212121,
China,Xinglongtai District,Xinglongtai,6,6,0.15,
China,Xinglongtai Qu,Xingning Qu,6,12,0.158874459,
China,Xingning Qu,Xingbin Qu,24,12,0.130976431,
China,Xingqing Qu,Lingling Qu,24,6,0.121212121,
China,Xingtai County,Xingtai,46,6,0.166666667,
China,Xingtai Shi,Xingtai,46,6,0.121212121,
China,Xingyi,Xiangxi,23,12,0.150793651,
China,Xingyi Shi,Xingyi,12,12,0.133333333,
China,Xinhua Qu,Qinhuai Qu,12,12,0.103703704,
China,Xinhui Qu,Jinshui Qu,12,12,0.103703704,
China,Xining Shi,Xingyi Shi,12,6,0.103703704,
China,Xinluo,Xinfu,12,12,0.177777778,
China,Xinluo District,Qindu District,6,6,0.114285714,
China,Xinluo Qu,Xinluo,12,12,0.111111111,
China,Xinshao County,Qonggyai County,12,12,0.190620491,
China,Xinshi,Enshi,35,6,0.177777778,
China,Xinshi District,Linxiang District,6,6,0.164705882,
China,Xinshi Qu,Xinshi,6,6,0.111111111,
China,Xinwu Qu,Xinhua Qu,12,12,0.115740741,
China,Xinxiang,Pingxiang,21,20,0.115740741,
China,Xinxing,Linxiang,12,12,0.130952381,
China,"Xinxing District, Qitaihe",Linxiang District,6,6,0.17254902,
China,Xinxing Qu,Jining Qu,12,12,0.103703704,
China,Xinyang,Xianyang,44,20,0.113095238,
China,Xinyu,Xinyang,20,18,0.20952381,
China,Xinyu Shi,Xian Shi,12,6,0.115740741,
China,Xinzhou,Jingzhou,42,35,0.130952381,
China,Xinzhou Qu,Jizhou Qu,24,24,0.103703704,
China,Xiongguan West Road,Xingan,12,12,0.228070175,
China,Xisaishan Qu,Xiangshan Qu,24,24,0.194444444,
China,Xishan Qu,Huishan Qu,12,12,0.103703704,
China,Xishi,Xinshi Qu,6,6,0.148148148,
China,Xishi District,Taizihe District,6,6,0.158730159,
China,Xishi Qu,Xishan Qu,12,6,0.115740741,
China,Xishuangbanna,Xiangtan,41,15,0.195512821,
China,Xiuying Qu,Xiling Qu,12,12,0.103703704,
China,Xiuyu Qu,Xinzhou Qu,24,24,0.216666667,
China,Xiuzhou Qu,Suzhou Qu,24,12,0.103703704,
China,Xixia,Xinxiang,20,6,0.125,
China,Xixia District,Linxiang District,6,6,0.102240896,
China,Xixia Qu,Xixia,6,6,0.125,
China,Xixiangtang Qu,Xianan Qu,12,12,0.119047619,
China,Xixiu,Xinxing,12,12,0.20952381,
China,Xixiu District,Qixing District,12,12,0.114285714,
China,Xixiu Qu,Xixiu,12,12,0.125,
China,Xuancheng,Yancheng,26,49,0.115740741,
China,Xuancheng Shi,Xuancheng,26,6,0.102564103,
China,Xuanzhou,Guangzhou,62,12,0.115740741,
China,Xuanzhou District,Yuhu District,6,12,0.123680241,
China,Xuanzhou Qu,Suzhou Qu,24,12,0.127946128,
China,Xuchang,Xuancheng,26,20,0.169312169,
China,Xuecheng Qu,Fucheng Qu,12,12,0.149494949,
China,Xuhui Qu,Xiuyu Qu,24,12,0.130952381,
China,Xunyang Qu,Hunjiang Qu,24,12,0.157575758,
China,Xuzhou,Guangzhou,62,49,0.203703704,
China,Xuzhou Shi,Quanzhou Shi,6,6,0.116666667,
China,Ya An,Yan An,15,33,0.155555556,
China,Ya'an,Tai'an,10,5,0.177777778,
China,Yaan,Yantai,18,39,0.194444444,
China,Yaan Shi,Taian Shi,6,6,0.115740741,
China,Yan An,Guang An,33,33,0.180555556,
China,Yan'an,Xian'an,12,3,0.150793651,
China,Yanbian,Yangjiang,23,37,0.158730159,
China,Yanbian Chaoxianzuzizhizhou,Liangshan Yizuzizhizhou,6,6,0.246564681,
China,Yancheng,Nanchang,49,49,0.166666667,
China,Yancheng Qu,Bincheng Qu,12,6,0.121212121,
China,Yanfeng Qu,Fancheng Qu,24,24,0.157575758,
China,Yangjiang,Zhanjiang,37,39,0.148148148,
China,Yangliuqing Road,Shuanglin Road,12,12,0.214285714,
China,Yangming Qu,Yingjiang Qu,12,24,0.119191919,
China,Yangpu,Yanhu,6,12,0.177777778,
China,Yangquan Shi,Yangquan,39,6,0.111111111,
China,Yangzhou,Changzhou,48,40,0.115740741,
China,Yanhu,Yangzhou,40,12,0.125,
China,Yanhu District,Longxu District,12,12,0.16031746,
China,Yanhu Qu,Lianhu Qu,12,12,0.115740741,
China,Yanji Shi,Kaili Shi,24,24,0.222222222,
China,Yanjiang,Zhanjiang,12,39,0.115740741,
China,Yanjiang District,Panji District,12,12,0.102240896,
China,Yanjiang Qu,Ganjingzi Qu,12,12,0.143939394,
China,Yanliang Qu,Hanting Qu,12,12,0.157575758,
China,Yanping Qu,Yanfeng Qu,24,24,0.133333333,
China,Yanta Qu,Hantai Qu,12,12,0.115740741,
China,Yantian Qu,Hanting Qu,12,12,0.133333333,
China,Yaodu District,Yuhu District,6,12,0.122710623,
China,Yaodu Qu,Yaodu,6,6,0.125,
China,Yaohai Qu,Nanhai Qu,12,12,0.148148148,
China,Yaozhou Qu,Yanhu Qu,12,12,0.141666667,
China,Yibin Shi,Laibin Shi,6,6,0.103703704,
China,Yibing,Yixing,2,34,0.111111111,
China,Yichang,Yancheng,49,40,0.242063492,
China,Yichang Shi,Yichang,40,6,0.121212121,
China,Yicheng Qu,Echeng Qu,24,24,0.103703704,
China,Yichun,Yichun Qu,6,24,0.111111111,
China,Yichun Jiangxi,Yichang,40,9,0.214285714,
China,Yichun Qu,Yicheng Qu,24,24,0.103703704,
China,Yijiang Qu,Yiling Qu,6,12,0.103703704,
China,Yilan,Yiyang,16,23,0.177777778,
China,Yilan County,Hualien County,3,3,0.12950938,
China,Yiling Qu,Beilin Qu,24,12,0.148148148,
China,Yinchuan,Jinan,43,43,0.233333333,
China,Yindu Qu,Liandu Qu,12,12,0.115740741,
China,Yingjiang Qu,Lingling Qu,24,24,0.143939394,
China,Yingkou,Jingzhou,42,37,0.220238095,
China,Yingtan,Jintan,31,23,0.150793651,
China,Yingtan Shi,Yingtan,23,6,0.121212121,
China,Yingze Qu,Linghe Qu,12,12,0.148148148,
China,Yingzhou Qu,Jizhou Qu,24,24,0.127946128,
China,Yinhai,Yinchuan,43,6,0.180555556,
China,Yinhai District,Xishi District,6,6,0.114285714,
China,Yinhai Qu,Dinghai Qu,12,6,0.103703704,
China,Yining Shi,Xichang Shi,24,24,0.221212121,
China,Yinzhou,Yingzhou Qu,24,12,0.121212121,
China,"Yinzhou District, Tieling",Longzihu District,12,12,0.205882353,
China,Yinzhou Qu,Jizhou Qu,24,12,0.103703704,
China,Yiwu,Laiwu,37,34,0.216666667,
China,Yiwu Shi,Laiwu Shi,6,6,0.115740741,
China,Yixing,Jiaxing,41,34,0.150793651,
China,Yixing Shi,Yibin Shi,6,6,0.103703704,
China,Yixiu Qu,Yichun Qu,24,24,0.194444444,
China,Yiyang,Liyang,34,23,0.111111111,
China,Yiyang Shi,Puyang Shi,6,6,0.133333333,
China,Yizhou Qu,Xinzhou Qu,24,24,0.103703704,
China,Yongding Qu,Dongxing Qu,12,12,0.121212121,
China,Yongqiao Qu,Hongqi Qu,24,24,0.127946128,
China,Yongzhou,Cangzhou,49,32,0.166666667,
China,Yongzhou Shi,Yongzhou,32,6,0.111111111,
China,You Jiang Qu,Youjiang Qu,6,24,0.169191919,
China,Youjiang Qu,Suiyang Qu,24,24,0.157575758,
China,Youxian Qu,Louxing Qu,12,12,0.133333333,
China,Yuan Qu,Yanhu Qu,12,12,0.113095238,
China,Yuanbao Qu,Yanta Qu,12,12,0.141666667,
China,Yuancheng Qu,Yancheng,49,12,0.111111111,
China,Yuanhui Qu,Chuanhui Qu,24,24,0.168013468,
China,Yuanlin East Street,Desheng East Street,12,12,0.236167341,
China,Yuanzhou Qu,Yingzhou Qu,24,24,0.121212121,
China,Yubei,Yuexiu,3,12,0.177777778,
China,Yucheng,Yuncheng,12,18,0.136904762,
China,Yucheng District,Yuyang District,6,12,0.106944444,
China,Yucheng Qu,Acheng Qu,12,12,0.103703704,
China,Yuci Qu,Yichun Qu,24,24,0.121693122,
China,Yuecheng Qu,Yuancheng Qu,12,12,0.119191919,
China,Yuehu Qu,Yuanhui Qu,24,24,0.141666667,
China,Yuelu,Yuexiu,6,12,0.177777778,
China,Yuelu District,Yuzhou District,6,12,0.114285714,
China,Yuelu Qu,Yuexiu Qu,6,12,0.115740741,
China,Yuetang,Yuyang,6,12,0.150793651,
China,Yuetang District,Gucheng District,6,6,0.125,
China,Yuetang Qu,Hetang Qu,12,6,0.103703704,
China,Yuexiu,Yuxi,12,33,0.111111111,
China,Yuexiu Qu,Yuexiu,12,12,0.111111111,
China,Yueyang,Deyang,39,37,0.150793651,
China,Yueyanglou,Yuyang,6,12,0.133333333,
China,Yueyanglou District,Yucheng District,6,6,0.129385965,
China,Yueyanglou Qu,Yuelu Qu,6,6,0.128205128,
China,Yufeng Qu,Yucheng Qu,12,12,0.103703704,
China,Yuhang Qu,Wuchang Qu,12,12,0.103703704,
China,Yuhu District,Yanhu District,12,12,0.101037851,
China,Yuhua Qu,Yuhang Qu,12,12,0.115740741,
China,Yuhui,Yushu,12,26,0.133333333,
China,Yuhui District,Yushui District,6,12,0.105555556,
China,Yuhui Qu,Yuhui,12,12,0.125,
China,Yulin,Hualien,16,9,0.20952381,
China,Yulin Guangxi,Yulin,9,6,0.205128205,
China,Yulin Shaanxi,Yulin Guangxi,6,6,0.153846154,
China,Yuma Road,Shuanglin Road,12,12,0.240740741,
China,Yuncheng,Xuancheng,26,18,0.115740741,
China,Yuncheng Qu,Bincheng Qu,12,6,0.121212121,
China,Yuncheng Shi,Jincheng Shi,6,6,0.111111111,
China,Yunfu Shi,Yunfu,43,6,0.148148148,
China,Yunhe Qu,Yuancheng Qu,12,12,0.111111111,
China,Yunlin,Yulin,9,7,0.155555556,
China,Yunlong Qu,Huinong Qu,12,12,0.133333333,
China,Yunxi Qu,Youxian Qu,12,12,0.129166667,
China,Yunyan Qu,Xunyang Qu,12,12,0.103703704,
China,Yuquan Qu,Yuhua Qu,12,12,0.115740741,
China,Yushan Qu,Huishan Qu,12,12,0.103703704,
China,Yushu,Fushun,39,26,0.177777778,
China,Yushu Shi,Yushu,26,12,0.148148148,
China,Yushui,Lushui,18,12,0.111111111,
China,Yushui District,Yuhu District,12,12,0.15982906,
China,Yushui Qu,Yuanhui Qu,24,12,0.103703704,
China,Yuwangtai Qu,Yanta Qu,12,12,0.111111111,
China,Yuxi,Wuxi,44,33,0.166666667,
China,Yuyang,Fuyang,34,12,0.111111111,
China,Yuyang District,Yanhu District,12,12,0.106715507,
China,Yuyang Qu,Huiyang Qu,12,12,0.103703704,
China,Yuzhong County,Qonggyai County,12,12,0.206349206,
China,Yuzhou,Fuzhou,38,12,0.111111111,
China,Yuzhou District,Yanhu District,12,12,0.142063492,
China,Yuzhou Qu,Runzhou Qu,12,12,0.103703704,
China,Zengdu,Chengdu,56,12,0.150793651,
China,Zengdu District,Qindu District,6,6,0.114285714,
China,Zengdu Qu,Zengdu,12,6,0.111111111,
China,Zezhou,Dezhou,39,6,0.111111111,
China,Zhangdian Qu,Changan Qu,12,12,0.116666667,
China,Zhanggong,Zhangjiagang,12,34,0.148148148,
China,Zhanggong District,Shuangyang District,12,12,0.147953216,
China,Zhanggong Qu,Chenggong Qu,12,6,0.111111111,
China,Zhangjiagang,Zhanjiang,34,39,0.175925926,
China,Zhangjiagang Shi,Changji Shi,12,6,0.15530303,
China,Zhangjiajie,Zhangjiakou,36,43,0.181818182,
China,Zhangqiu,Zhangjiakou,43,34,0.162878788,
China,Zhangqiu Qu,Shangqiu,23,6,0.162878788,
China,Zhangwan Qu,Changjiang Qu,24,24,0.163170163,
China,Zhangye,Changde,39,17,0.19047619,
China,Zhangzhou,Cangzhou,49,32,0.115740741,
China,Zhangzhou Shi,Zhangzhou,32,6,0.102564103,
China,Zhanhe Qu,Chancheng Qu,12,12,0.148148148,
China,Zhanjiang,Nanjing,50,39,0.158730159,
China,Zhanqian,Zhanjiang,39,6,0.115740741,
China,Zhanqian District,Shuangqing District,24,6,0.109391125,
China,Zhanqian Qu,Zhangwan Qu,24,6,0.121212121,
China,Zhaoqing,Shaoxing,44,43,0.166666667,
China,Zhaotong,Zhaoqing,43,12,0.166666667,
China,Zhaoyang,Liaoyang,23,20,0.166666667,
China,Zhaoyang Qu,Chaoyang,12,12,0.162878788,
China,Zhaoyuan,Shaoguan,42,34,0.166666667,
China,Zhaoyuan Shi,Chaoyang Shi,6,6,0.111111111,
China,Zhenan Qu,Zhanhe Qu,12,12,0.115740741,
China,Zhengding County,Zengdu,12,12,0.208333333,
China,Zhengxiang,Chengxiang Qu,12,12,0.135897436,
China,Zhengxiang District,Qingcheng District,6,6,0.141751949,
China,Zhengxiang Qu,Zhenan Qu,12,12,0.102564103,
China,Zhengzhou,Changzhou,48,46,0.148148148,
China,Zhenjiang,Shenyang,53,25,0.194444444,
China,Zhenjiang Jiangsu,Zhenjiang,25,24,0.156862745,
China,Zhenjiang Qu,Zhengxiang Qu,12,6,0.13966589,
China,Zhenxing Qu,Zhengxiang Qu,12,12,0.111888112,
China,Zhifu Qu,Shigu Qu,24,12,0.166666667,
China,Zhonglou Qu,Dongzhou Qu,12,12,0.195286195,
China,Zhongshan District Liupanshui,Zhongshan,50,6,0.229885057,
China,"Zhongshan District, Liupanshui","Chengzhong District, Liuzhou",6,6,0.228499278,
China,Zhongshan Qu,Dongan Qu,12,12,0.148148148,
China,Zhongshan Shi,Zhongshan,50,12,0.102564103,
China,Zhongwei,Longwei Qu,18,15,0.216666667,
China,Zhongyuan Qu,Chongchuan Qu,12,12,0.132478632,
China,Zhoucun Qu,Luohu Qu,12,12,0.189285714,
China,Zhoukou,Zhuzhou,20,39,0.19047619,
China,Zhoushan,Zhongshan,50,42,0.115740741,
China,Zhoushan Shi,Zhoushan,42,6,0.111111111,
China,Zhuhai Shi,Zhoushan Shi,6,6,0.116666667,
China,Zhuhui Qu,Chuanhui Qu,24,12,0.127946128,
China,Zhuji,Zhuhai,50,28,0.177777778,
China,Zhuji Shi,Zhuji,28,6,0.148148148,
China,Zhumadian,Zhuhai,50,20,0.203703704,
China,Zhushan Qu,Zhoushan,42,24,0.141666667,
China,Zhuzhou,Zhengzhou,46,39,0.158730159,
China,Zi Ma Ling Shang Quan,Qu Jiang Shang Quan,12,12,0.246579992,
China,Zichuan District,Beihu District,12,12,0.130952381,
China,Ziliujing Qu,Beilun Qu,12,12,0.212962963,
China,Ziyang,Liyang,34,29,0.111111111,
China,Ziyang District,Zichuan District,12,12,0.106944444,
China,Ziyang Qu,Huiyang Qu,12,12,0.103703704,
China,Ziyang Shi,Puyang Shi,6,6,0.133333333,
China,Zunyi Shi,Xinyu Shi,6,6,0.115740741,
Colombia,Itaguì,Itagui,59,2,0.111111111,
Costa Rica,Belén,Belen,14,2,0.133333333,
Croatia,Desinic Gora,Desinic,18,14,0.138888889,
Croatia,Desinić,Desinic Gora,3,14,0.214285714,
Croatia,Općina Polača,Općina Varaždin,3,12,0.235897436,
Croatia,Osijek,Rijeka,56,57,0.222222222,
Croatia,Pula,Pula Pola,15,21,0.185185185,
Croatia,Višnjan,Visignano,18,3,0.243386243,
Cyprus,Pafos,Paphos,7,56,0.177777778,
Czechia,Bohunice,Bohumin,6,3,0.186507937,
Czechia,Bolatice,Lostice,3,12,0.220238095,
Czechia,Brezno,Brno,6,66,0.111111111,
Czechia,Brno-Střed,Brno,66,3,0.2,
Czechia,Brno-Židenice,Brno,66,3,0.230769231,
Czechia,Brusperk,Sumperk,1,9,0.220238095,
Czechia,Celakovice,Ceradice,6,13,0.216666667,
Czechia,Ceské Budejovice,Ceske Budejovice,62,4,0.163888889,
Czechia,Chomutov-Jirkov,Chomutov,58,2,0.155555556,
Czechia,Chotebuz,Cheb,58,6,0.166666667,
Czechia,Chotyne,Chotebuz,6,6,0.220238095,
Czechia,Dolni Rychnov,Dolni Lutyne,62,27,0.239316239,
Czechia,Dolni Studenky,Dolni Lutyne,62,55,0.15981241,
Czechia,Dukovany,Doksany,36,6,0.186507937,
Czechia,Jablonec,Jablonec Nad Nisou,6,36,0.185185185,
Czechia,Kadan,Kladno,61,66,0.177777778,
Czechia,Korenov,Krizanov,57,60,0.220238095,
Czechia,Krnov,Krizanov,60,12,0.125,
Czechia,Litomerice,Liberec,61,58,0.236507937,
Czechia,Lostice,Kosetice,27,12,0.242063492,
Czechia,Loštice,Bolatice,3,3,0.220238095,
Czechia,Ludgerovice,Kucharovice,57,1,0.242424242,
Czechia,Mada Boleslav,Mlada Boleslav,6,30,0.152014652,
Czechia,Mankovice,Celakovice,6,3,0.174074074,
Czechia,Nacesice,Navsi,6,26,0.233333333,
Czechia,Nosovice,Lostice,12,9,0.220238095,
Czechia,Nošovice,Loštice,3,3,0.220238095,
Czechia,Opava,Ostrava,59,66,0.20952381,
Czechia,Ostravice,Ostrava,66,9,0.158730159,
Czechia,Pardubice Vii,Pardubice,66,18,0.102564103,
Czechia,Perstejn,Prostejov,27,58,0.194444444,
Czechia,Pilsen,Plzen,32,36,0.177777778,
Czechia,Pisecna,Pilsen,32,31,0.150793651,
Czechia,Praha,Prachatice,52,31,0.166666667,
Czechia,Přebuz,Prebuz,27,21,0.111111111,
Czechia,Přimda,Primda,12,3,0.111111111,
Czechia,Radimovice,Rozdalovice,33,57,0.199242424,
Czechia,Sedlcany,Sedlec,6,62,0.180555556,
Czechia,Silherovice,Kucharovice,57,6,0.242424242,
Czechia,Stara Ves,Stare Hamry,3,54,0.242905243,
Czechia,Stare Hamry,Stare Krecany,54,57,0.2002072,
Czechia,Temelin,Tetin,3,9,0.20952381,
Czechia,Tetin,Vsetin,9,54,0.177777778,
Czechia,Trebic,Trinec,58,62,0.177777778,
Czechia,Třinec,Trinec,62,3,0.111111111,
Czechia,Velke Mezirici,Valasske Mezirici,35,6,0.179163973,
Czechia,Zbyslavice,Ostravice,9,6,0.244444444,
Czechia,Zlín,Zlin,62,4,0.166666667,
Czechia,Žacleř,Zacler,3,3,0.222222222,
Denmark,Kobenhavn,Copenhagen,35,24,0.244444444,
Denmark,Ulfborg,Aalborg,55,39,0.19047619,
Denmark,Århus,Arhus,32,4,0.133333333,
Estonia,Kohtla-Järve,Kohtla Jarve,33,3,0.111111111,
Fiji,Suva,Suva City,6,7,0.185185185,
Finland,Esbo,Espoo,3,34,0.216666667,
Finland,Hameenlinna,Savonlinna,3,9,0.221212121,
Finland,Helsingfors,Helsinki Helsingfors,29,30,0.225757576,
Finland,Helsinki Helsingfors,Helsinki,36,30,0.2,
Finland,Hyvinge,Hyvinkaa,12,14,0.220238095,
Finland,Joutseno,Joensuu,38,27,0.242063492,
Finland,Jyväskylä,Jyvaskyla,55,8,0.148148148,
Finland,Kokkola,Kouvola,33,58,0.19047619,
Finland,Muonio,Kuopio,64,56,0.222222222,
Finland,Ruokolahti,Virolahti,27,62,0.244444444,
Finland,Santala,Vantaa,15,38,0.150793651,
Finland,Vanda,Vantaa,3,38,0.177777778,
Finland,Vantaa,Vaasa,62,38,0.177777778,
France,Abos,Ambes,33,48,0.216666667,
